ulasan,label
halo kak sulit atur jadwal konseling tkw jam selesai kerja wib sulit atur jadwal psikolog wa riliv mohon bantu,0
alhamdulillah sehat fisik doang sehat mental terimakasih kasih riliv bantuin kasih bintang psikologi nya wajah lega wajah lega wajah lega,2
alhamdulillah bantu,2
suka banget appnya bagus banget rekomen wajah senyum hati,2
bagus,2
kecewa beli premium pilih konselor ahli ya premium alam nangani client pakai acara pindah jam alas lupa set jam confir rilivnya langsung super slow respond jempol patah hati mbak konselor bilang kalo konselor sedia lempar tim nya nihil gantungin jam molor tuh,0
bagus,2
moga bantu ya pikir buntu banget takut mati tang problem hidup wlaupn nginstal moga bantu rating mu sngat bagus maksihh,2
sadar mental parah aplikasi bantu sadar periksa sehat mental,1
tenang,2
halo tama terimakasih riliv hadir bantu sedih kali kecewa aju saran seri kecewa riliv kenan isi suara isi suara meditasi seri meditasi dasar kagum beliau nyaman sekian saran moga pertimb,2
adm wa nya slowrespon banget awalmya upgrade konseling malas mending refund,0
thank you,2
fiturnya tarik cocok journaling moga konsisten jempol,2
aplikasi nya bagus banget suka,2
coba blue core dev benerin bug paymend method gopay,1
senang,2
ok,2
banget balas online wajah kecewa,0
terimakasih bantu,2
moga bantu,2
bantu makasii ya,2
aplikasi rekomendasi dokter psikiater ku harap bantu ku terimakasih,2
terima kasihh semangat meceritakan terima kasihh riliv,2
good app,1
tingkat forma nya kendor rekomendasi download,0
bagus sehat mental,2
suka,2
bagus bantu,2
bagus banget manfaat orang ku,2
bagus ya lengkap logout,2
kali pakai kayak curhat kediary curhat kasih motivasi positif,2
aplikasi bagus bantu tenang sesi meditasi,1
bantu moga manfaat,2
membantuu,1
great,2
jempol,2
ku,1
recommended,1
maasya allah terima kasih riliv aplikasi manfaat download alami mental illnes kadang susah hadap ubah mood emosi ubah bantu riliv mudah kelola emosi tenang alhamdulillah moga allah balas bikin aplikasi limpah lipat tangan angkat rapat warna kulit cerah wajah senyum hati,2
bantu inspirasi,2
fitur journey nya loading,0
good application,2
masyaallah aplikasi bantu temu tenang jiwa,2
bagus ukur sehat mental,2
aplikasi bagus santai nyaman rekomendasi sih aplikasi,1
aplikasi bagus pahamm banget agakk sulit,1
aplikasi ringan fitur fiturnya bantu,1
aplikasi bagus pikir unek jalan hidup journal isi media dukung aktivitas sibuk laku,2
aplikasi,0
bantu,2
keren bantu ajar meditasi,2
suka aplikasi curah jurnal singkat meditasi terima kasih moga,2
bagus,2
apk wajah senyum sombong wajah senyum sombong daftar coneksi jaring putus sinyal bagus jaring lancar daftar mending deh apknya biar hambat tipu banget gue sesal,2
bagus banget aplikasi bantu konseling jarak konselor alam,2
riliv keren kasih alam ajar sehat mental meditasi konselor ramah,2
bagus aplikasi nya bagus banget cacat recommended download,1
ok,2
nicee,1
