userName,score,date,ulasan
Juliansyah Naoza,4,2025-07-29 03:48:18,"App Riliv di android nyaman digunakan dan lebih interaktif, daripada versi app nya di iOS gak nyaman dan berasa pakai web view aja, banyak fitur yg di versi Android tidak ada di versi iOS dan gak interaktif, semoga versi di iOS nya diperbaiki jadi seperti di Android, jujur karena pengalaman pakai di iOS yg kurang nyaman jadinya jarang dan males pakai di iPhone, padahal Riliv sangat membantu dalam mengelola mental sehari-hari. Terima kasih."
Ayu,5,2025-07-20 02:39:13,terjangkau
yosi kristiyanto,5,2025-07-15 06:07:47,"Terbaik, dan sangat membantu. terimakasih admin sukses selalu ya"
pena idruss,3,2025-07-14 16:35:58,"Saya baru download, dan tidak bisa login."
ZeedNaa Group,5,2025-07-08 23:39:54,sangat membantu saya utk sehat lahir batin
Tirta Jaya,5,2025-07-06 13:39:23,bagus sangat membantu
Nur Hikmah,5,2025-07-06 04:11:02,sangat bagus
Riska Ayu Rahmawati,5,2025-06-22 12:07:06,sangat membantu dalam meredakan emosi dan beban pikiran tanpa harus bercerita
Rikyy Jerry,5,2025-06-18 08:18:59,"apk nya baguss bgt🫂🩵 tapi tolong dong mo buka premium jgn make debit min, pake virtual account atau transfer bank aja, karna gasmua org pnya mastercard🥹🙏"
Fe Annie Seliku,5,2025-06-08 10:46:58,aplikasi yang sangat membantu kita terutama yang punya masalah kecemasan
koko utama,5,2025-06-04 13:21:08,membantu bgt ketika cemas datang
mega silvy,5,2025-05-31 11:53:28,Sangat membantu saya dalam menghadapi stress
indah oktavianti,3,2025-05-28 08:18:01,"loding mulu, terus error bahkan streak harian tidak terbaca."
An Gell,5,2025-05-21 06:35:04,apakah saya bisa menggunakan aplikasi ini untuk curhat tnpa diketahui orng?
Sukrin Syah,5,2025-05-15 05:49:57,asik juga biarpun blom paham betul menggunakan apak ini
Anisa Nur Padillah,5,2025-05-15 00:46:26,bagusss
Begawan Sa'bani,4,2025-05-13 23:25:06,tolong adakan paket 1 bulanan
Asep Tayudin,5,2025-05-13 12:06:46,Aplikasi nya sangat bagus
Tri Laksono,4,2025-05-05 08:41:58,mantap
diah fismala,4,2025-05-03 11:02:37,cukup membantu
Hayalna,5,2025-05-01 11:26:41,cukup
Rizbay,5,2025-05-01 07:08:48,"Saya, Berterima kasih! :)"
Safaraz Al Tamis,5,2025-04-27 15:35:40,apk yg baguss lumayan lah untuk konseling ataupun meditasi
Junita rahmaniar,5,2025-04-21 23:06:48,selama pakai ini aplikasi rasa nya aku mulai tenang
Nadia Almayra,4,2025-04-19 01:47:06,karena Riliv aku bisa tenang dan ga stres lagi maksih ya Riliv
Elsa Viranda,5,2025-04-11 01:33:15,sangat membantu
